county,year,crop,metric,value
Nyeri,2022,maize,area_ha,26984.0
Nyeri,2022,maize,production_tons,14323.0
Nyeri,2023,maize,area_ha,31317.0
Nyeri,2023,maize,production_tons,35280.0
Nyeri,2024,maize,area_ha,29248.0
Nyeri,2024,maize,production_tons,24832.0
Samburu,2019,maize,area_ha,8580.0
Samburu,2019,maize,production_tons,1839.0
Samburu,2020,maize,area_ha,10320.0
Samburu,2020,maize,production_tons,9756.0
Samburu,2021,maize,area_ha,12425.0
Samburu,2021,maize,production_tons,12090.0
Samburu,2022,maize,area_ha,15870.0
Samburu,2022,maize,production_tons,11178.0
Samburu,2023,maize,area_ha,6448.0
Samburu,2023,maize,production_tons,15298.0
Samburu,2024,maize,area_ha,11572.0
Samburu,2024,maize,production_tons,9135.0
Siaya,2019,maize,area_ha,64387.0
Siaya,2019,maize,production_tons,75733.0
Siaya,2020,maize,area_ha,63493.0
Siaya,2020,maize,production_tons,72351.0
Siaya,2021,maize,area_ha,83933.0
Siaya,2021,maize,production_tons,53512.0
Siaya,2022,maize,area_ha,73521.0
Siaya,2022,maize,production_tons,76580.0
Siaya,2023,maize,area_ha,77550.0
Siaya,2023,maize,production_tons,115191.0
Siaya,2024,maize,area_ha,77660.0
Siaya,2024,maize,production_tons,143979.0
Taita Taveta,2019,maize,area_ha,17069.0
Taita Taveta,2019,maize,production_tons,16698.0
Taita Taveta,2020,maize,area_ha,10006.0
Taita Taveta,2020,maize,production_tons,16643.0
Taita Taveta,2021,maize,area_ha,12252.0
Taita Taveta,2021,maize,production_tons,3360.0
Taita Taveta,2022,maize,area_ha,11464.0
Taita Taveta,2022,maize,production_tons,10893.0
Taita Taveta,2023,maize,area_ha,13596.0
Taita Taveta,2023,maize,production_tons,12393.0
Taita Taveta,2024,maize,area_ha,11426.0
Taita Taveta,2024,maize,production_tons,13176.0
Tana River,2019,maize,area_ha,5311.0
Tana River,2019,maize,production_tons,4471.0
Tana River,2020,maize,area_ha,5666.0
Tana River,2020,maize,production_tons,8222.0
Tana River,2021,maize,area_ha,4251.0
Tana River,2021,maize,production_tons,958.0
Tana River,2022,maize,area_ha,6673.0
Tana River,2022,maize,production_tons,8257.0
Tana River,2023,maize,area_ha,5734.0
Tana River,2023,maize,production_tons,5879.0
Tana River,2024,maize,area_ha,5063.0
Tana River,2024,maize,production_tons,14658.0
Tharaka Nithi,2019,maize,area_ha,24436.0
Tharaka Nithi,2019,maize,production_tons,11943.0
Tharaka Nithi,2020,maize,area_ha,18591.0
Tharaka Nithi,2020,maize,production_tons,41601.0
Tharaka Nithi,2021,maize,area_ha,25420.0
Tharaka Nithi,2021,maize,production_tons,30352.0
Tharaka Nithi,2022,maize,area_ha,23640.0
Tharaka Nithi,2022,maize,production_tons,20668.0
Tharaka Nithi,2023,maize,area_ha,26617.0
Tharaka Nithi,2023,maize,production_tons,33808.0
Tharaka Nithi,2024,maize,area_ha,37588.0
Tharaka Nithi,2024,maize,production_tons,55426.0
Trans Nzoia,2019,maize,area_ha,106549.0
Trans Nzoia,2019,maize,production_tons,426499.0
Trans Nzoia,2020,maize,area_ha,104850.0
Trans Nzoia,2020,maize,production_tons,489056.0
Trans Nzoia,2021,maize,area_ha,107090.0
Trans Nzoia,2021,maize,production_tons,407913.0
Trans Nzoia,2022,maize,area_ha,95140.0
Trans Nzoia,2022,maize,production_tons,339990.0
Trans Nzoia,2023,maize,area_ha,125065.0
Trans Nzoia,2023,maize,production_tons,448011.0
Trans Nzoia,2024,maize,area_ha,124976.0
Trans Nzoia,2024,maize,production_tons,423156.0
Turkana,2019,maize,area_ha,8931.0
Turkana,2019,maize,production_tons,5689.0
Turkana,2020,maize,area_ha,2475.0
Turkana,2020,maize,production_tons,2582.0
Turkana,2021,maize,area_ha,1295.0
Turkana,2021,maize,production_tons,1154.0
Turkana,2022,maize,area_ha,3408.0
Turkana,2022,maize,production_tons,452.0
Turkana,2023,maize,area_ha,1750.0
Turkana,2023,maize,production_tons,1331.0
Turkana,2024,maize,area_ha,3704.0
Turkana,2024,maize,production_tons,4217.0
Uasin Gishu,2019,maize,area_ha,100081.0
Uasin Gishu,2019,maize,production_tons,324366.0
Uasin Gishu,2020,maize,area_ha,106999.0
Uasin Gishu,2020,maize,production_tons,456574.0
Uasin Gishu,2021,maize,area_ha,104645.0
Uasin Gishu,2021,maize,production_tons,385400.0
Uasin Gishu,2022,maize,area_ha,102820.0
Uasin Gishu,2022,maize,production_tons,359870.0
Uasin Gishu,2023,maize,area_ha,117923.0
Uasin Gishu,2023,maize,production_tons,476538.0
Uasin Gishu,2024,maize,area_ha,107009.0
Uasin Gishu,2024,maize,production_tons,483211.0
Vihiga,2019,maize,area_ha,28560.0
Vihiga,2019,maize,production_tons,38208.0
Vihiga,2020,maize,area_ha,25134.0
Vihiga,2020,maize,production_tons,30566.0
Vihiga,2021,maize,area_ha,22340.0
Vihiga,2021,maize,production_tons,24191.0
Vihiga,2022,maize,area_ha,26142.0
Vihiga,2022,maize,production_tons,25335.0
Vihiga,2023,maize,area_ha,24921.0
Vihiga,2023,maize,production_tons,29659.0
Vihiga,2024,maize,area_ha,24771.0
Vihiga,2024,maize,production_tons,34171.0
Wajir,2019,maize,area_ha,306.0
Wajir,2019,maize,production_tons,225.0
Wajir,2020,maize,area_ha,98.0
Wajir,2020,maize,production_tons,39.0
Wajir,2021,maize,area_ha,54.0
Wajir,2021,maize,production_tons,19.0
Wajir,2022,maize,area_ha,72.0
Wajir,2022,maize,production_tons,25.0
Wajir,2023,maize,area_ha,132.0
Wajir,2023,maize,production_tons,34.0
Wajir,2024,maize,area_ha,278.0
Wajir,2024,maize,production_tons,216.0
West Pokot,2019,maize,area_ha,36720.0
West Pokot,2019,maize,production_tons,82849.0
West Pokot,2020,maize,area_ha,32354.0
West Pokot,2020,maize,production_tons,23400.0
West Pokot,2021,maize,area_ha,34911.0
West Pokot,2021,maize,production_tons,53193.0
West Pokot,2022,maize,area_ha,34780.0
West Pokot,2022,maize,production_tons,52650.0
West Pokot,2023,maize,area_ha,49097.0
West Pokot,2023,maize,production_tons,96010.0
West Pokot,2024,maize,area_ha,56403.0
West Pokot,2024,maize,production_tons,96984.0
Baringo,2019,sorghum,area_ha,1028.0
Baringo,2019,sorghum,production_tons,1209.0
Baringo,2020,sorghum,area_ha,1467.0
Baringo,2020,sorghum,production_tons,2261.0
Baringo,2021,sorghum,area_ha,1448.0
Baringo,2021,sorghum,production_tons,562.0
Baringo,2022,sorghum,area_ha,1590.0
Baringo,2022,sorghum,production_tons,557.0
Baringo,2023,sorghum,area_ha,1666.0
Baringo,2023,sorghum,production_tons,1822.0
Baringo,2024,sorghum,area_ha,1750.0
Baringo,2024,sorghum,production_tons,2296.0
Bomet,2019,sorghum,area_ha,1535.0
Bomet,2019,sorghum,production_tons,2959.0
Bomet,2020,sorghum,area_ha,2165.0
Bomet,2020,sorghum,production_tons,4920.0
Bomet,2021,sorghum,area_ha,2046.0
Bomet,2021,sorghum,production_tons,4245.0
Bomet,2022,sorghum,area_ha,1777.0
Bomet,2022,sorghum,production_tons,2138.0
Bomet,2023,sorghum,area_ha,734.0
Bomet,2023,sorghum,production_tons,1148.0
Bomet,2024,sorghum,area_ha,1333.0
Bomet,2024,sorghum,production_tons,1434.0
Bungoma,2019,sorghum,area_ha,532.0
Bungoma,2019,sorghum,production_tons,800.0
Bungoma,2020,sorghum,area_ha,599.0
Bungoma,2020,sorghum,production_tons,916.0
Bungoma,2021,sorghum,area_ha,510.0
Bungoma,2021,sorghum,production_tons,765.0
Bungoma,2022,sorghum,area_ha,516.0
Bungoma,2022,sorghum,production_tons,631.0
Bungoma,2023,sorghum,area_ha,488.0
Bungoma,2023,sorghum,production_tons,762.0
Bungoma,2024,sorghum,area_ha,516.0
Bungoma,2024,sorghum,production_tons,860.0
Busia,2019,sorghum,area_ha,10318.0
Busia,2019,sorghum,production_tons,14996.0
Busia,2020,sorghum,area_ha,9574.0
Busia,2020,sorghum,production_tons,11060.0
Busia,2021,sorghum,area_ha,8865.0
Busia,2021,sorghum,production_tons,5984.0
Busia,2022,sorghum,area_ha,5044.0
Busia,2022,sorghum,production_tons,5079.0
Busia,2023,sorghum,area_ha,5392.0
Busia,2023,sorghum,production_tons,7710.0
Busia,2024,sorghum,area_ha,5891.0
Busia,2024,sorghum,production_tons,8001.0
Elgeyo Marakwet,2020,sorghum,area_ha,325.0
Elgeyo Marakwet,2020,sorghum,production_tons,393.0
Elgeyo Marakwet,2021,sorghum,area_ha,740.0
Elgeyo Marakwet,2021,sorghum,production_tons,915.0
Elgeyo Marakwet,2022,sorghum,area_ha,735.0
Elgeyo Marakwet,2022,sorghum,production_tons,936.0
Elgeyo Marakwet,2023,sorghum,area_ha,1072.0
Elgeyo Marakwet,2023,sorghum,production_tons,1996.0
Elgeyo Marakwet,2024,sorghum,area_ha,1150.0
Elgeyo Marakwet,2024,sorghum,production_tons,2607.0
Embu,2019,sorghum,area_ha,7043.0
Embu,2019,sorghum,production_tons,8375.0
Embu,2020,sorghum,area_ha,6425.0
Embu,2020,sorghum,production_tons,3358.0
Embu,2021,sorghum,area_ha,5138.0
Embu,2021,sorghum,production_tons,1389.0
Embu,2022,sorghum,area_ha,3741.0
