county,year,maize_area_ha,maize_production_tons,beans_area_ha,beans_production_tons,sorghum_area_ha,sorghum_production_tons,green_grams_area_ha,green_grams_production_tons,irish_potatoes_area_ha,irish_potatoes_production_tons,tea_made_tea_kg,tea_green_leaf_tea_kg,coffee_total_area_ha,maize_yield_t_per_ha,beans_yield_t_per_ha,sorghum_yield_t_per_ha,green_grams_yield_t_per_ha,irish_potatoes_yield_t_per_ha,rainfall_mm,avg_temp_c,soil_ph
Kirinyaga,2021,30373.0,24388.0,19943.0,6870.0,86.0,71.0,162.0,29.0,579.0,5565.0,20775793.0,88297120.0,,0.8029499884766075,0.3444817730532016,0.8255813953488372,0.17901234567901234,9.61139896373057,945.8,20.375041095890413,5.5
Kirinyaga,2022,30503.0,13547.0,24431.0,6790.0,73.0,25.0,121.0,10.0,219.0,460.0,18223513.0,77449931.0,10089.1,0.4441202504671672,0.27792558634521713,0.3424657534246575,0.08264462809917356,2.1004566210045663,994.01,20.235479452054793,5.5
Kirinyaga,2023,38467.0,49692.0,21816.0,23335.0,110.0,149.0,210.0,162.0,352.0,3001.0,20928919.0,88947907.0,10213.0,1.291808563184028,1.0696277961129446,1.3545454545454545,0.7714285714285715,8.525568181818182,1358.19,20.476109589041094,5.5
Kirinyaga,2024,28228.0,38468.0,17080.0,14506.0,40.0,61.0,117.0,15.0,183.0,1010.0,22645841.6,96244826.8,10412.0,1.3627603797647725,0.8492974238875878,1.525,0.1282051282051282,5.51912568306011,1593.21,20.336557377049182,5.5
Kisii,2019,66625.0,144480.0,49799.0,24149.0,146.0,152.0,0.0,0.0,53.0,438.0,19794854.0,,,2.1685553470919325,0.4849294162533384,1.0410958904109588,,8.264150943396226,2668.85,20.31772602739726,5.4
Kisii,2020,67286.0,132790.0,48645.0,28090.0,98.0,80.0,0.0,0.0,34.0,510.0,23630551.0,100429842.0,,1.9735160360253248,0.5774488642203721,0.8163265306122449,,15.0,3088.7599999999998,19.567049180327867,5.4
Kisii,2021,65876.0,96249.0,47594.0,31292.0,94.0,160.0,0.0,0.0,43.0,595.0,18594477.0,79026525.0,,1.4610632096666465,0.657477833340337,1.702127659574468,,13.837209302325581,2000.8,19.95194520547945,5.4
Kisii,2022,43735.0,79671.0,34104.0,21780.0,85.0,67.0,0.0,0.0,24.0,152.0,19867507.0,84436904.0,4579.0,1.8216760032010975,0.6386347642505278,0.788235294117647,,6.333333333333333,1880.69,19.823616438356165,5.4
Kisii,2023,66221.0,119244.0,48336.0,24392.0,117.0,98.0,0.0,0.0,46.0,382.0,18607195.0,79080581.0,4590.0,1.8006976638830583,0.5046342270771268,0.8376068376068376,,8.304347826086957,3064.59,20.238246575342465,5.4
Kisii,2024,65900.0,41087.0,47996.0,30831.0,257.0,242.0,0.0,0.0,46.0,415.0,24009924.7,102042179.8,4683.0,0.6234749620637329,0.6423660305025419,0.9416342412451362,,9.021739130434783,2975.64,20.182377049180328,5.4
Kisumu,2019,50228.0,69956.0,26243.0,19753.0,22540.0,21800.0,4632.0,2274.0,0.0,0.0,,,,1.392768973480927,0.7526959570171093,0.9671694764862466,0.49093264248704666,,2950.71,20.627972602739725,6.3
Kisumu,2020,46307.0,67307.0,22551.0,14748.0,20740.0,22974.0,3890.0,2497.0,0.0,0.0,,,,1.4534951519208759,0.6539843022482373,1.1077145612343298,0.6419023136246786,,3399.84,19.99292349726776,6.3
Kisumu,2021,62600.0,40990.0,25130.0,10197.0,20800.0,19742.0,3990.0,1697.0,0.0,0.0,,,,0.6547923322683706,0.4057699960206924,0.9491346153846154,0.42531328320802003,,2044.98,20.310438356164386,6.3
Kisumu,2022,54125.0,34513.0,26980.0,10873.0,16460.0,11851.0,4155.0,2129.0,0.0,0.0,,,106.0,0.6376535796766744,0.403002223869533,0.7199878493317132,0.5123947051744886,,2193.93,20.244876712328768,6.3
Kisumu,2023,62195.0,105003.0,30755.0,23247.0,21500.0,26946.0,4220.0,2827.0,0.0,0.0,,,237.0,1.6882868397781172,0.7558770931555845,1.2533023255813953,0.6699052132701422,,3175.23,20.590520547945207,6.3
Kisumu,2024,48400.0,58657.0,22000.0,9897.0,21600.0,24246.0,4382.0,2924.0,0.0,0.0,,,250.0,1.2119214876033058,0.44986363636363635,1.1225,0.6672752167959836,,3042.9900000000002,20.590081967213116,6.3
Kitui,2019,76901.0,98046.0,34938.0,33498.0,70384.0,125000.0,122902.0,86323.0,0.0,0.0,,,,1.2749639146435028,0.9587841318907779,1.7759718117754035,0.7023726220891442,,709.3100000000001,24.410931506849316,6.5
Kitui,2020,87252.0,27960.0,32298.0,16044.0,67872.0,162004.0,93851.0,87448.0,0.0,0.0,,,,0.3204511071379453,0.4967490247074122,2.386904761904762,0.9317748345782144,,656.2,23.67756830601093,6.5
Kitui,2021,79035.0,11508.0,34320.0,6124.0,70509.0,20494.0,94415.0,31691.0,0.0,0.0,,,,0.14560637692161701,0.17843822843822843,0.29065793019330866,0.3356564105279881,,498.25,23.844904109589038,6.5
Kitui,2022,62987.0,9183.0,33539.0,10822.0,66391.0,19479.0,94836.0,43625.0,0.0,0.0,,,,0.14579198882309047,0.3226691314588986,0.2933982015634649,0.460004639588342,,421.51,23.891342465753425,6.5
